"source","variant","age_band","age_from","age_to","living_arrangement","payment_category","payment_category_share","income_lower","income_upper","weighted_mean_income","income_bin_share","weighted_n","base_income_year","income_growth_default","caveat_flags"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,500,1000,814.139999999999,0.0175336485994907,0.00194284391623009,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,1000,2000,1814.14,0.0144052382684613,0.00159619541665376,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,2000,5000,3249.04304709141,0.0919243361222263,0.0101858227724345,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,5000,10000,7678.70808199121,0.0496907966533285,0.00550606802815414,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,10000,15000,12761.5578403756,0.0387413604947254,0.00429279827963701,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,15000,20000,17849.4935353535,0.0360130956711531,0.00399048854163441,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,20000,30000,25083.0658816497,0.0608584939978174,0.00674352255571148,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,30000,50000,40315.1487424344,0.108184794470717,0.01198758881093,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,50000,75000,61987.6008603667,0.103164787195344,0.0114313388930052,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,75000,1e+05,86629.5605607477,0.0622771917060749,0.00690072361947283,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
