"year","age","sex","population"
2044,53,"female",46086.6749411111
2044,54,"female",45197.1095072168
2044,55,"female",43451.8702180531
2044,56,"female",42394.4911690489
2044,57,"female",40117.1121200448
2044,58,"female",38463.7414433392
2044,59,"female",37797.315249532
2044,60,"female",36446.4127906935
2044,61,"female",35723.7007403272
2044,62,"female",34608.0735101075
2044,63,"female",33305.8169565933
2044,64,"female",32503.4483729624
2044,65,"female",31733.5727726087
2044,66,"female",30459.2000028284
2044,67,"female",30323.4816732382
2044,68,"female",29784.3224983184
2044,69,"female",30667.8963045113
2044,70,"female",31435.7507240175
2044,71,"female",32006.5004497272
2044,72,"female",32515.7925855103
2044,73,"female",32564.3559263299
2044,74,"female",30864.741254558
2044,75,"female",30441.3944125886
2044,76,"female",29322.8729332618
2044,77,"female",28460.7985784885
2044,78,"female",27230.9106086053
2044,79,"female",26943.3702916067
2044,80,"female",27004.4002698602
2044,81,"female",26737.3154497137
2044,82,"female",25613.7835050137
2044,83,"female",23874.8483903275
2044,84,"female",21848.4221965203
2044,85,"female",20399.8859718868
2044,86,"female",18535.7372623402
2044,87,"female",16714.0063743022
2044,88,"female",14933.8451063077
2044,89,"female",13037.1456143893
2044,90,"female",11239.4195952482
2044,91,"female",9388.9850291425
2044,92,"female",7817.36617122131
2044,93,"female",6284.19862400294
2044,94,"female",5150.66667930289
2044,95,"female",13404.5002292454
2045,0,"female",33654.2432281273
2045,1,"female",33640.0941818649
2045,2,"female",33686.4768523301
2045,3,"female",33777.5402857855
2045,4,"female",33880.9441007359
2045,5,"female",33967.6734109188
2045,6,"female",34061.7156998891
2045,7,"female",34498.7306351748
2045,8,"female",34606.3902536798
2045,9,"female",34750.43254265
2045,10,"female",34981.0069732319
2045,11,"female",35210.2617419199
2045,12,"female",35555.5789091967
2045,13,"female",35824.5154757413
2045,14,"female",36255.7903540478
2045,15,"female",32383.2667519566
2045,16,"female",32772.1526287651
2045,17,"female",33119.328548282
2045,18,"female",33348.235355837
2045,19,"female",33516.8688652806
2045,20,"female",33556.3348437508
2045,21,"female",33050.8688815255
2045,22,"female",32960.707613531
2045,23,"female",35669.3829844675
2045,24,"female",35663.3002573956
2045,25,"female",36155.1666513482
2045,26,"female",37068.0818312017
2045,27,"female",37721.3404777905
2045,28,"female",39018.4043671906
2045,29,"female",39228.6567345554
2045,30,"female",40331.1067584242
2045,31,"female",40875.0732692299
2045,32,"female",42336.0544315582
2045,33,"female",42938.4931838132
2045,34,"female",43423.2795889527
2045,35,"female",43890.1848827335
2045,36,"female",43413.3314992055
2045,37,"female",44494.6770590154
2045,38,"female",43836.5692150479
2045,39,"female",42129.8487923831
2045,40,"female",41763.01429267
2045,41,"female",41999.1179504882
2045,42,"female",41397.2467252022
2045,43,"female",41700.0917364316
2045,44,"female",42584.4645062119
2045,45,"female",43028.7911981079
2045,46,"female",41594.7126571853
2045,47,"female",42704.8246873021
2045,48,"female",43017.0320029386
2045,49,"female",43124.5932506837
2045,50,"female",44059.4571601013
2045,51,"female",44251.3000782562
2045,52,"female",45402.2110719604
2045,53,"female",45716.6749411111
2045,54,"female",46017.1095072168
2045,55,"female",45161.8702180531
2045,56,"female",43414.4911690489
2045,57,"female",42377.1121200448
2045,58,"female",40113.7414433392
2045,59,"female",38487.315249532
2045,60,"female",37816.4127906935
2045,61,"female",36473.7007403272
2045,62,"female",35738.0735101075
2045,63,"female",34615.8169565933
2045,64,"female",33283.4483729624
2045,65,"female",32443.5727726087
2045,66,"female",31669.2000028284
2045,67,"female",30373.4816732382
2045,68,"female",30224.3224983184
2045,69,"female",29667.8963045113
2045,70,"female",30515.7507240175
2045,71,"female",31256.5004497272
2045,72,"female",31795.7925855103
2045,73,"female",32264.3559263299
2045,74,"female",32284.741254558
2045,75,"female",30561.3944125886
2045,76,"female",30102.8729332618
2045,77,"female",28930.7985784885
2045,78,"female",28030.9106086053
2045,79,"female",26753.3702916067
2045,80,"female",26394.4002698602
2045,81,"female",26347.3154497137
2045,82,"female",25973.7835050137
2045,83,"female",24774.8483903275
2045,84,"female",22938.4221965203
2045,85,"female",20839.8859718868
2045,86,"female",19285.7372623402
2045,87,"female",17314.0063743022
2045,88,"female",15433.8451063077
2045,89,"female",13597.1456143893
2045,90,"female",11659.4195952482
2045,91,"female",9868.9850291425
2045,92,"female",8077.36617122131
2045,93,"female",6564.19862400294
2045,94,"female",5150.66667930289
2045,95,"female",14154.5002292454
2046,0,"female",33714.2432281273
2046,1,"female",33730.0941818649
2046,2,"female",33816.4768523301
2046,3,"female",33937.5402857855
2046,4,"female",34080.9441007359
2046,5,"female",34187.6734109188
2046,6,"female",34301.7156998891
2046,7,"female",34738.7306351748
2046,8,"female",34826.3902536798
2046,9,"female",34950.43254265
2046,10,"female",35161.0069732319
2046,11,"female",35350.2617419199
2046,12,"female",35655.5789091967
2046,13,"female",35894.5154757413
2046,14,"female",36305.7903540478
2046,15,"female",32413.2667519566
2046,16,"female",32792.1526287651
2046,17,"female",33139.328548282
2046,18,"female",33388.235355837
2046,19,"female",33576.8688652806
2046,20,"female",33636.3348437508
2046,21,"female",33620.8688815255
2046,22,"female",33150.707613531
2046,23,"female",33129.3829844675
2046,24,"female",36013.3002573956
2046,25,"female",36365.1666513482
2046,26,"female",36808.0818312017
2046,27,"female",37811.3404777905
2046,28,"female",38478.4043671906
2046,29,"female",39778.6567345554
2046,30,"female",39971.1067584242
2046,31,"female",41025.0732692299
2046,32,"female",41556.0544315582
2046,33,"female",43008.4931838132
2046,34,"female",43583.2795889527
2046,35,"female",43990.1848827335
2046,36,"female",44493.3314992055
2046,37,"female",43984.6770590154
2046,38,"female",45006.5692150479
2046,39,"female",44319.8487923831
2046,40,"female",42523.01429267
2046,41,"female",42149.1179504882
2046,42,"female",42347.2467252022
2046,43,"female",41700.0917364316
2046,44,"female",41934.4645062119
2046,45,"female",42728.7911981079
2046,46,"female",43144.7126571853
2046,47,"female",41654.8246873021
2046,48,"female",42717.0320029386
2046,49,"female",42984.5932506837
2046,50,"female",43059.4571601013
2046,51,"female",44001.3000782562
2046,52,"female",44182.2110719604
2046,53,"female",45336.6749411111
2046,54,"female",45647.1095072168
2046,55,"female",45981.8702180531
2046,56,"female",45124.4911690489
2046,57,"female",43387.1121200448
2046,58,"female",42373.7414433392
2046,59,"female",40137.315249532
2046,60,"female",38506.4127906935
2046,61,"female",37833.7007403272
2046,62,"female",36488.0735101075
2046,63,"female",35745.8169565933
2046,64,"female",34593.4483729624
2046,65,"female",33223.5727726087
2046,66,"female",32369.2000028284
2046,67,"female",31583.4816732382
2046,68,"female",30284.3224983184
2046,69,"female",30107.8963045113
2046,70,"female",29525.7507240175
2046,71,"female",30346.5004497272
2046,72,"female",31065.7925855103
2046,73,"female",31554.3559263299
2046,74,"female",31994.741254558
2046,75,"female",31971.3944125886
2046,76,"female",30222.8729332618
2046,77,"female",29710.7985784885
2046,78,"female",28510.9106086053
2046,79,"female",27533.3702916067
2046,80,"female",26214.4002698602
2046,81,"female",25767.3154497137
2046,82,"female",25603.7835050137
2046,83,"female",25144.8483903275
2046,84,"female",23818.4221965203
2046,85,"female",21889.8859718868
2046,86,"female",19705.7372623402
2046,87,"female",18034.0063743022
2046,88,"female",16003.8451063077
2046,89,"female",14057.1456143893
2046,90,"female",12179.4195952482
2046,91,"female",10248.9850291425
2046,92,"female",8487.36617122131
2046,93,"female",6794.19862400294
2046,94,"female",5400.66667930289
2046,95,"female",14724.5002292454
2047,0,"female",33744.2432281273
2047,1,"female",33790.0941818649
2047,2,"female",33916.4768523301
2047,3,"female",34077.5402857855
2047,4,"female",34250.9441007359
2047,5,"female",34387.6734109188
2047,6,"female",34521.7156998891
2047,7,"female",34968.7306351748
2047,8,"female",35066.3902536798
2047,9,"female",35170.43254265
2047,10,"female",35361.0069732319
2047,11,"female",35530.2617419199
2047,12,"female",35805.5789091967
2047,13,"female",36004.5154757413
2047,14,"female",36385.7903540478
2047,15,"female",32473.2667519566
2047,16,"female",32832.1526287651
2047,17,"female",33169.328548282
2047,18,"female",33408.235355837
2047,19,"female",33606.8688652806
2047,20,"female",33696.3348437508
2047,21,"female",33710.8688815255
2047,22,"female",33720.707613531
2047,23,"female",33329.3829844675
2047,24,"female",33483.3002573956
2047,25,"female",36715.1666513482
2047,26,"female",37018.0818312017
2047,27,"female",37551.3404777905
2047,28,"female",38578.4043671906
2047,29,"female",39238.6567345554
2047,30,"female",40521.1067584242
2047,31,"female",40655.0732692299
2047,32,"female",41706.0544315582
2047,33,"female",42238.4931838132
2047,34,"female",43663.2795889527
2047,35,"female",44160.1848827335
2047,36,"female",44593.3314992055
2047,37,"female",45064.6770590154
2047,38,"female",44506.5692150479
2047,39,"female",45489.8487923831
2047,40,"female",44723.01429267
2047,41,"female",42909.1179504882
2047,42,"female",42497.2467252022
2047,43,"female",42650.0917364316
2047,44,"female",41934.4645062119
2047,45,"female",42078.7911981079
2047,46,"female",42844.7126571853
2047,47,"female",43214.8246873021
2047,48,"female",41667.0320029386
2047,49,"female",42684.5932506837
2047,50,"female",42919.4571601013
2047,51,"female",43001.3000782562
2047,52,"female",43942.2110719604
2047,53,"female",44126.6749411111
2047,54,"female",45277.1095072168
2047,55,"female",45611.8702180531
2047,56,"female",45944.4911690489
2047,57,"female",45107.1121200448
2047,58,"female",43383.7414433392
2047,59,"female",42397.315249532
2047,60,"female",40156.4127906935
2047,61,"female",38533.7007403272
2047,62,"female",37848.0735101075
2047,63,"female",36495.8169565933
2047,64,"female",35713.4483729624
2047,65,"female",34523.5727726087
2047,66,"female",33159.2000028284
2047,67,"female",32293.4816732382
2047,68,"female",31484.3224983184
2047,69,"female",30167.8963045113
2047,70,"female",29965.7507240175
2047,71,"female",29366.5004497272
2047,72,"female",30155.7925855103
2047,73,"female",30834.3559263299
